sl,abb,sci,family,habit
1,acajac,acacia jacquemontii,mimosoideae/fabaceae,large shrub
2,acanil,acacia nilotica,mimosoideae/fabaceae,tree
3,acasen,acacia senegal,mimosoideae/fabaceae,tree
4,acator,acacia tortilla,mimosoideae/fabaceae,tree
5,aerjav,aerva javanica,amaranthaceae,subshrub
6,aerpse,aerva pseudotomentosa,amaranthaceae,subshrub
7,arnhis,arnebia hispidissima,boraginaceae,subshrub
8,calpol,calligonum polygonoides,polygonaceae,shrub
9,calpro,calotropis procera,asclepiadaceae,large shrub
10,capdec,capparis decidua,capparaceae,tree/large shrub
11,citcol,citrullus colocynthis,cucurbitaceae,climber
12,crobur,crotalaria burhia,ceasalpinioideae/fabaceae,herb
13,dacaeg,dactyloctenium aegyptiacum,poaceae,grass
14,fagind,fagonia indica,zygophyllaceae,herb
15,halsal,haloxylon salicornicum,amaranthaceae,shrub
16,lassci,lasiurus scindicus,poaceae,grass
17,leppyr,leptadenia pyrotechnica,asclepiadaceae,shrub
18,mimham,mimosa hamata,mimosoideae/fabaceae,shrub
19,pantur,panicum turgidum,poaceae,grass
20,procin,prosopis cineraria,mimosoideae/fabaceae,tree
21,salole,salvadora oleioides,salvadoraceae,tree
22,salper,salvadora persica,salvadoraceae,tree
23,solsur,solanum surattense,solanaceae,prickly herb
24,tecund,tecomella undulata,bignoniaceae,tree
25,teppur,tephrosia purpurea,papilionoideae/fabaceae,subshrub
26,ziznum,ziziphus nummularia,rhamnaceae,shrub
