name,transect,patch
nag1,33,0.3
nag1,33,0.4
nag1,33,0.1
nag1,33,0.4
nag1,33,0.4
nag1,33,0.1
nag1,33,0.4
nag1,33,0.3
nag1,33,0.3
nag1,33,0.2
nag1,33,0.2
nag1,33,0.1
nag1,33,0.1
nag1,33,0.6
nag1,33,0.2
nag1,33,0.4
nag1,33,0.3
nag1,33,0.3
nag1,33,0.4
nag1,33,0.2
nag1,33,0.1
nag1,33,0.1
nag1,33,1
nag1,34,0.4
nag1,34,0.1
nag1,34,0.7
nag1,34,0.2
nag1,34,0.5
nag1,34,0.2
nag1,34,0.2
nag1,34,0.1
nag1,34,1
nag1,34,0.1
nag1,34,0.1
nag1,34,0.1
nag1,34,0.2
nag1,34,0.1
nag1,34,0.5
nag1,34,0.3
nag1,34,0.2
nag1,35,0.3
nag1,35,0.1
nag1,35,0.1
nag1,35,0.6
nag1,35,0.2
nag1,35,0.4
nag1,35,0.2
nag1,35,0.3
nag1,35,0.2
nag1,35,0.1
nag1,35,0.3
nag1,35,0.4
nag1,35,0.4
nag1,35,0.5
nag1,35,0.2
nag1,35,0.5
nag1,35,0.3
nag1,35,0.4
nag1,35,0.4
nag1,35,0.6
nag1,35,0.4
nag1,35,0.3
