sl,name,transect,animal,count,remarks,
1,ajm1,,,,,
2,ajm2,,,,,
3,bar1,,,,,
4,bar2,,,,,
5,bar3,1,goat,7,,
6,bar3,1,cow,2,,
7,bar3,1,sheep,2,,
8,bar3,2,cow,3,,
9,bar3,2,sheep,3,,
10,jai1,1,goat,3,,
11,jai1,1,cow,1,,
12,jai1,2,goat,5,,
13,jai1,2,cow,2,,
14,jai1,3,cow,8,,
15,jai1,3,goat,3,,
16,jai1,3,sheep,1,,
17,jai1,4,goat,2,,
18,jai1,4,cow,1,,
19,jai1,5,goat,11,,
20,jai1,5,cow,3,,
21,jai1,6,goat,1,,
11,jai2,1,cow,1,,
12,jai2,1,chinkara,1,,
13,jai2,2,goat,1,,
14,jai2,2,sheep,1,,
15,jai2,2,uid,2,,
16,jai2,3,goat,2,,
17,jai2,3,chinkara,1,,
18,jai2,4,goat,3,,
19,jai2,5,goat,8,,
20,jai2,5,sheep,3,,
21,jai2,6,goat,3,,
22,jai3,1,goat,9,,
23,jai3,1,cow,3,,
22,jai3,2,goat,10,,
23,jai3,2,cow,4,,
24,jai4,1,goat,3,,
25,jai4,1,cow,1,,
26,jai4,1,sheep,2,,
27,jai4,2,goat,2,,
28,jai4,2,cow,1,,
29,jai4,2,sheep,3,,
30,jai4,3,cow,3,,
31,jai4,4,goat,1,,
32,jai4,4,cow,3,,
33,jai4,4,sheep,3,,
34,bik1,1,goat,9,,
35,bik1,1,sheep,1,,
36,bik1,2,goat,8,,
37,bik1,3,goat,135,,
38,bik1,3,sheep,21,,
39,bik1,4,goat,207,,
40,bik1,4,sheep,12,,
41,bik1,4,camel,7,,
42,bik1,4,uid,4,small pellets,
43,bik2,1,goat,207,,
44,bik2,1,sheep,6,,
45,bik2,1,camel,10,,
46,bik2,2,goat,365,,
47,bik2,2,camel,2,,
48,bik4,1,cow,3,,
49,bik4,1,sheep,7,,
50,bik4,2,cow,2,,
51,bik4,2,sheep,19,,
52,bik4,3,goat,3,,
53,bik4,3,sheep,1,,
54,bik4,4,cow,5,,
55,bik5,1,goat,2,,
56,bik5,1,cow,1,,
57,bik5,1,sheep,3,,
58,bik5,2,goat,224,,
59,bik5,2,cow,7,,
60,bik5,3,goat,33,,
61,bik5,3,uid,4,small pellets,100+100+200+200
62,bik5,4,goat,26,,
63,nag1,1,goat,218,,
64,nag1,1,cow,1,,
65,nag1,2,goat,183,,
66,nag1,3,goat,94,,
67,chu1,1,goat,108,,
68,chu1,2,goat,164,,
69,chu1,2,cow,8,,
70,chu2,1,goat,200,,
71,chu2,1,cow,2,,
72,chu2,2,goat,179,,
73,chu2,2,cow,2,,
