flower.sp,species,native.invasive
Acacia caesia,Common Line Blue,native
Vernonia arborea,Common Jezebel,native
Clerodendrum viscosum,Paris Peacock,native
Lantana camara,Malabar banded Peacock,invasive
Leea indica,Appias Sp,native
Mikania micrantha,Tailed Jay,invasive
Chromolaena odorata,Common Mormon,invasive
Sphagneticola trilobata,Psyche,invasive
Acacia caesia,Chocolate Pansy,native
Clerodendrum viscosum,Great Orange Tip,native
Lantana camara,Chocolate albatross,invasive
Leea indica,Rustic,native
Mikania micrantha,Grey Pansy,invasive
Chromolaena odorata,Common Jezebel,invasive
Sphagneticola trilobata,Lemon Pansy,invasive
Acacia caesia,Dark Cerulean,native
Clerodendrum viscosum,Common Jezebel,native
Lantana camara,Grass yellow sp,invasive
Leea indica,Common Fourring,native
Mikania micrantha,Common Castor,invasive
Chromolaena odorata,Lemon Pansy,invasive
Sphagneticola trilobata,Common Crow,invasive
Acacia caesia,Blue Pansy,native
Clerodendrum viscosum,Red Helen,native
Lantana camara,Glassy Tiger,invasive
Leea indica,Dark Blue Tiger,native
Mikania micrantha,Common Crow,invasive
Chromolaena odorata,Chocolate Pansy,invasive
Sphagneticola trilobata,Plain Tiger,invasive
Clerodendrum viscosum,Common Mormon,native
Lantana camara,Malabar Raven,invasive
Leea indica,Blue Tiger,native
Mikania micrantha,Great Eggfly,invasive
Chromolaena odorata,Common Crow,invasive
Sphagneticola trilobata,Common Pierrot,invasive
Clerodendrum viscosum,Blue Tiger,native
Lantana camara,Chocolate Pansy,invasive
Leea indica,Common Small Flat,native
Mikania micrantha,Common Jay,invasive
Chromolaena odorata,Striped Tiger,invasive
Clerodendrum viscosum,Common Crow,native
Lantana camara,Striped Tiger,invasive
Leea indica,Common Jay,native
Chromolaena odorata,Common Evening Brown,invasive
Clerodendrum viscosum,Common Rose,native
Lantana camara,Rustic,invasive
Leea indica,Common Crow,native
Chromolaena odorata,Blue Tiger,invasive
Lantana camara,Common Sailer,invasive
Leea indica,Brown King Crow,native
Chromolaena odorata,Glassy Tiger,invasive
Lantana camara,Tailed Jay,invasive
Leea indica,Tailed Jay,native
Chromolaena odorata,Common Sailer,invasive
Lantana camara,Common Rose,invasive
Chromolaena odorata,Blue Mormon,invasive
Lantana camara,Common Mormon,invasive
Chromolaena odorata,Common Albatross,invasive
Lantana camara,Common Emigrant,invasive
Chromolaena odorata,Common Gull,invasive
Lantana camara,Common Gull,invasive
Chromolaena odorata,Tamil Yeoman,invasive
Lantana camara,Common Jezebel,invasive
Chromolaena odorata,White fourring,invasive
Lantana camara,Blue Tiger,invasive
Chromolaena odorata,Common Cerulean,invasive
Lantana camara,Glassy Tiger,invasive
Chromolaena odorata,Chestnut Bob,invasive
Lantana camara,Common  Crow,invasive
Chromolaena odorata,Chocolate Albatross,invasive
Lantana camara,Common Castor,invasive
Chromolaena odorata,Rustic,invasive
Lantana camara,Blue Pansy,invasive
Chromolaena odorata,Tailed Jay,invasive
Lantana camara,Great Eggfly,invasive
Chromolaena odorata,Grey Pansy,invasive
Lantana camara,Danaid Eggfly,invasive
Chromolaena odorata,Psyche,invasive
Lantana camara,Banded Blue Pierrot,invasive
Chromolaena odorata,Zebra Blue,invasive
Lantana camara,Zebra Blue,invasive
Chromolaena odorata,Clipper,invasive
Lantana camara,Tiny Grass Blue,invasive
Chromolaena odorata,Common Lineblue,invasive
Lantana camara,Brown King Crow,invasive
Lantana camara,Great Orange Tip,invasive
Lantana camara,Paris Peacock,invasive
Justicia Sp,Tiny Grass Blue,native
